"","Products","Price","Ratings","Reviews"
"1","Pantene Pro-V Ultimate 10 Repair Protect Shampoo, Stengthening Shampoo For Damaged Hair 900ml","$25.99","390","390"
"2","Just for men Moustache & Beard, Beard Dye For Grey Hair With Brush Included, Eliminates Grey For A Thicker & Fuller Look - Colour: Dark Brown, M-45, 2 Count (Pack of 1)","$11.99","191","191"
"3","TRESemmé Cleanse and Replenish Shampoo 940 mL","$15.44","239","239"
"4","Remington Aero 2000 Hair Dryer D3190AU, Personalises Heat to Your Hair, 2000W, Fast Drying and Styling, Black","$23.95","1,128","1,128"
"5","Selsun Gold Treatment Shampoo, Medically Proven Treatment for Dandruff Control, Reduces Flaking, 375ml","$18.01","264","264"
"6","Shiseido Fino Premium Touch Hair Mask, 8.11 Ounce","$18.00","3,157","3,157"
"7","L'Oréal Paris, Hair Oil, Heat Protection, Increases Shine & Softness, Elvive Extraordinary Oil Extra Rich, 100ml","$29.00","357","357"
"8","Eco Style Moroccan Argan Oil Styling Gel, 473m","$14.55","3,040","3,040"
"9","Huggie Jasmine and Cherry Blossom Fabric Conditioner","$23.95","198","198"
"10","Swift Direct Premium Mist Spray Bottle - 6.8oz/200ml, Continuous Mister water Spray Bottle for Long Straight & Curly Hair Styling, Plants, Ironing, Cleaning, Salon & Skin Care… (Black)","$10.99","369","369"
