"","Products","Price","Rating","Reviews","Ratings","Review"
"1","Mielle Rosemary Mint Scalp & Hair Strengthening Oil","$17.50","687","4.4 out of 5 stars",NA,NA
"2","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","$5.09","4,143","4.7 out of 5 stars",NA,NA
"3","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","$24.99","9,028","4.4 out of 5 stars",NA,NA
"4","SHEA MOISTURE Coconut and Hibiscus Curl Enhancing Smoothie, 340 g, multi, 12 Ounce (Pack of 1) (290223 )","$10.23","1,732","4.3 out of 5 stars",NA,NA
"5","Garnier Fructis, 3-in-1 Hair Mask, Hydrating & Softening, Hair Food Banana, 390ml","$60.00","5,426","4.6 out of 5 stars",NA,NA
"6","K18 Leave-In Molecular Repair Hair Mask 50 ml","$45.45","42,478","4.5 out of 5 stars",NA,NA
"7","Hair Wax Stick, Wax Wigs Edge Control Slick, Non Greasy Styling Hair Pomade Stick for Flyaways Frizz Hair - 75g","$25.99","389","4.3 out of 5 stars",NA,NA
"8","Pantene Pro-V Ultimate 10 Repair Protect Shampoo, Stengthening Shampoo For Damaged Hair 900ml","$8.13","553","4.7 out of 5 stars",NA,NA
"9","Tresemme Heat Defence Hair Spray 300 mL","$14.55","3,039","4.4 out of 5 stars",NA,NA
"10","Eco Style Moroccan Argan Oil Styling Gel, 473m","$15.63","221","4.5 out of 5 stars",NA,NA
"11","NEUTROGENA T/Gel Therapeutic Anti-Dandruff Shampoo, 200 Milliliter","$11.99","191","4.5 out of 5 stars",NA,NA
"12","Just for men Moustache & Beard, Beard Dye For Grey Hair With Brush Included, Eliminates Grey For A Thicker & Fuller Look - Colour: Dark Brown, M-45, 2 Count (Pack of 1)","$6.79","263","4.4 out of 5 stars",NA,NA
"13","Selsun Blue Replenishing Anti-dandruff Shampoo, Fights Dandruff While Keeping Your Hair Feeling Soft, 200ml","$18.00","3,149","4.5 out of 5 stars",NA,NA
"14","Shiseido Fino Premium Touch Hair Mask, 8.11 Ounce","$15.44","238","4.4 out of 5 stars",NA,NA
"15","TRESemmé Cleanse and Replenish Shampoo 940 mL","$19.49","46","4.5 out of 5 stars",NA,NA
"16","L'Oreal Paris Elvive Bond Repair Shampoo 200ml","$23.95","1,128","4.0 out of 5 stars",NA,NA
"17","Remington Aero 2000 Hair Dryer D3190AU, Personalises Heat to Your Hair, 2000W, Fast Drying and Styling, Black","$7.99","9,036","4.6 out of 5 stars",NA,NA
"18","Batiste Bare Dry Shampoo - Light & Low-key Scent - Quick Refresh for All Hair Types - Revitalises Oily Hair - Hair Care - Hair & Beauty Products - 200ml","$29.00","357","4.6 out of 5 stars",NA,NA
"19","L'Oréal Paris, Hair Oil, Heat Protection, Increases Shine & Softness, Elvive Extraordinary Oil Extra Rich, 100ml","$23.95","198","4.6 out of 5 stars",NA,NA
"20","Huggie Jasmine and Cherry Blossom Fabric Conditioner","$118.15","48,094","4.6 out of 5 stars",NA,NA
