"","Product","Name","Date","IndividualRating","Review"
"1","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Neil","Reviewed in Australia on 12 February 2024","4.3 out of 5 stars","        reliable product, good quality & simple installation  "
"2","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Nicolas Gregg","Reviewed in Australia on 13 July 2023","5.0 out of 5 stars","        Works well. Don’t like the app it comes with but overall great value for money  "
"3","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Neil","Reviewed in Australia on 12 February 2024","3.0 out of 5 stars","        High quality  "
"4","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Jose","Reviewed in Australia on 29 February 2024","5.0 out of 5 stars","        only problem is it gets a little pixel every now and then but quality is so much better than my old camera def recommend a bit pricey but definitely worth it  "
"5","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","ZHLI ","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars","        The main reason I bought this was because I read it was out of the box - easy to set up. And it was.Perfect for zoom meetings - love it.  "
"6","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","josh","Reviewed in Australia on 10 October 2023","5.0 out of 5 stars","        Plug in and play,. It’s a great camera, video quality is great, just sits on top of pc screen c/w a privacy screen.  "
"7","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Amazon Customer","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars","        Great, terrific & fantastic product. One happy customer 😁🙂😆  "
"8","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Darren","Reviewed in Australia on 6 March 2024","5.0 out of 5 stars","        Does the job.  Expected it could swivel up/down based on the image but that is not the case, it is fixed in all directions.  "
"9","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Gerry Hamoy","Reviewed in Australia on 31 January 2024","5.0 out of 5 stars","        Very easy to setup and use on a Mac, happy with my purchase.  "
"10","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","urugamai","Reviewed in Australia on 26 November 2023","5.0 out of 5 stars","        It's great nice picture quality and easy plug and play  "
"11","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Mark B","Reviewed in Australia on 26 November 2023","5.0 out of 5 stars",NA
"12","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Corbyn Godkin","Reviewed in Australia on 23 November 2023","5.0 out of 5 stars",NA
"13","1080P Webcam with Microphone, EMEET C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","Neil","Reviewed in Australia on 12 February 2024","4.3 out of 5 stars","        Needed a decent webcam for an appointment with a solicitor this one fit the bill not too expensive and quality of camera and mic were what was needed  "
