"","Product","Name","Date","IndividualRating","Review"
"1","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Cliente Kindle","Reviewed in Australia on 16 April 2023","4.5 out of 5 stars","        Good quality, good smell, works really well with afro hair.  "
"2","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Eva","Reviewed in Australia on 4 March 2024","5.0 out of 5 stars","        The Coconut and Hibiscus range I find work wonders for my hair. The smell is also amazing. I bought with the Shampoo and the manukahoney mask.  "
"3","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Cliente Kindle","Reviewed in Australia on 16 April 2023","3.0 out of 5 stars","        Love this conditioner so much! I’ve always put shea in my curly hair so when I saw this, I knew I had to try it. Didn’t disappoint! My hair feels SO soft and it’s never looked so healthy!  "
"4","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Amazon Customer","Reviewed in Australia on 22 April 2020","5.0 out of 5 stars","        I can't use the pump/bottle so put the conditioner in other bottles.  "
"5","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Brayden & Emery","Reviewed in Australia on 19 July 2023","5.0 out of 5 stars",""
"6","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Amazon Customer","Reviewed in Australia on 7 February 2024","5.0 out of 5 stars","        The moisture after one use of the product is worth purchasing. I have long and very thick hair so this product actually really helped with the smoothness and richness of my hair. I do have to say my hair did get oily after two days so this may be the cause as it does have great oils in it. So if you are looking for something with natural products but may result in washing your hair alot more during the week then this is for you :)  "
"7","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","laura","Reviewed in Australia on 25 August 2021","4.0 out of 5 stars","        Smells great and is a great conditioner for my curly hair. Cheaper to buy in priceline, but avoiding the shops now :)  "
"8","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","laura","Reviewed in Australia on 4 March 2024","5.0 out of 5 stars","        great product, lovely thick conditioner  "
"9","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Eva","Reviewed in Australia on 22 April 2020","5.0 out of 5 stars","        The ingredients listed on website are not the ingredients on the label. Unfortunately I have an allergic type reaction to synthetics fragrances. So can't be near this  "
"10","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Gayathri","Reviewed in Australia on 29 March 2021","3.0 out of 5 stars","        No pump came with the package. Only a bottle with spring hanging out.  "
"11","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","murphyfiona","Reviewed in Australia on 23 February 2023","5.0 out of 5 stars",NA
"12","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","samantha stiles","Reviewed in Australia on 15 July 2023","5.0 out of 5 stars",NA
"13","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Cliente Kindle","Reviewed in Australia on 16 April 2023","4.5 out of 5 stars","        I can't use the pump/bottle so put the conditioner in other bottles.  "
"14","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Eva","Reviewed in Australia on 4 March 2024","5.0 out of 5 stars","      Da subito ho notato che i capelli erano più ""leggeri"" e idratati    "
"15","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Amazon Customer","Reviewed in Australia on 7 February 2024","3.0 out of 5 stars","        A very nice product, that really does miracles for your curls.Almost no frizz and nice firlm curls.It smells pretty strong, but its a nice smell.  "
"16","Shea Moisture Coconut and Hibiscus Curl and Shine Conditioner, 384 ml","Alex Pedretti","Reviewed in Italy on 13 January 2024","4.0 out of 5 stars","      Ich bin wirklich zufrieden mit dem Produkt. Ich habe einen Mix aus Wellen und Locken und meine Haare sind eher fein und leicht. Am meisten gefällt mir der Duft, den man selbst noch nach 3 Tagen riecht, lecker nach Kokosnuss. Es pflegt auch definitiv die Haare und macht sie in meinem Fall geschmeidiger und weicher. Also weniger definiert.. aber das gefällt mir. Sie sind danach schön griffig und gefühlt auch irgendwie dicker. Dennoch ziehe ich einen Punkt ab, weil das hier nun mal auch kein Wundermittel ist, wie man es sich vielleicht erhofft. Man hat danach natürlich nicht die super glänzenden Haare wie aus einer Werbung. Ich werde es dennoch nachbestellen, weil es natürliche Inhaltsstoffe hat und für mich vollkommen ausreicht. Wenn ich am Ende noch etwas Jojobaöl in die Haare gebe, bin ich zufrieden. Die perfekten Haare bekomme ich vermutlich doch nur mit Hilfe von Hitze :P    "
