"","Products","Price","Ratings","Reviews"
"1","Mielle Rosemary Mint Scalp & Hair Strengthening Oil","$21.09","370","4.4 out of 5 stars"
"2","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","$17.50","688","4.7 out of 5 stars"
"3","SHEA MOISTURE Coconut and Hibiscus Curl Enhancing Smoothie, 340 g, multi, 12 Ounce (Pack of 1) (290223)","$24.99","9,033","4.3 out of 5 stars"
"4","K18 Leave-In Molecular Repair Hair Mask 50 ml","$55.00","5,441","4.5 out of 5 stars"
"5","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","$5.09","4,157","4.4 out of 5 stars"
"6","Tresemme Heat Defence Hair Spray 300 mL","$8.13","554","4.4 out of 5 stars"
"7","Hair Wax Stick, Wax Wigs Edge Control Slick, Non Greasy Styling Hair Pomade Stick for Flyaways Frizz Hair - 75g","$43.20","42,564","4.3 out of 5 stars"
"8","NEUTROGENA T/Gel Therapeutic Anti-Dandruff Shampoo, 200 Milliliter","$15.63","221","4.5 out of 5 stars"
"9","Garnier Fructis, 3-in-1 Hair Mask, Hydrating & Softening, Hair Food Banana, 390ml","$10.23","1,732","4.6 out of 5 stars"
"10","Pantene Pro-V Ultimate 10 Repair Protect Shampoo, Stengthening Shampoo For Damaged Hair 900ml","$25.99","390","4.7 out of 5 stars"
"11","Just for men Moustache & Beard, Beard Dye For Grey Hair With Brush Included, Eliminates Grey For A Thicker & Fuller Look - Colour: Dark Brown, M-45, 2 Count (Pack of 1)","$11.99","191","4.4 out of 5 stars"
"12","TRESemmé Cleanse and Replenish Shampoo 940 mL","$15.44","239","4.4 out of 5 stars"
"13","Remington Aero 2000 Hair Dryer D3190AU, Personalises Heat to Your Hair, 2000W, Fast Drying and Styling, Black","$23.95","1,128","4.6 out of 5 stars"
"14","Selsun Gold Treatment Shampoo, Medically Proven Treatment for Dandruff Control, Reduces Flaking, 375ml","$18.01","264","4.5 out of 5 stars"
"15","Shiseido Fino Premium Touch Hair Mask, 8.11 Ounce","$18.00","3,155","4.4 out of 5 stars"
"16","L'Oréal Paris, Hair Oil, Heat Protection, Increases Shine & Softness, Elvive Extraordinary Oil Extra Rich, 100ml","$29.00","357","4.6 out of 5 stars"
"17","Eco Style Moroccan Argan Oil Styling Gel, 473m","$14.55","3,040","4.5 out of 5 stars"
"18","Huggie Jasmine and Cherry Blossom Fabric Conditioner","$23.95","198","4.6 out of 5 stars"
"19","Swift Direct Premium Mist Spray Bottle - 6.8oz/200ml, Continuous Mister water Spray Bottle for Long Straight & Curly Hair Styling, Plants, Ironing, Cleaning, Salon & Skin Care… (Black)","$10.99","369","4.3 out of 5 stars"
"20","TYMO Hair Straightener Brush, Hair Iron with Built-in Comb, Fast Heating, 5 Temp Settings, Anti-Scald, Perfect for Professional Salon at Home, Hair Straightener That Reduces Styling Time, Matte Black","$118.15","48,143","4.4 out of 5 stars"
"21","Eco Style Olive Oil Hair Styling Gel, 473 ml","$23.95","38,977","4.5 out of 5 stars"
"22","Olaplex No.5 Bond Maintenance Conditioner, 250ml","$49.00","55,418","4.6 out of 5 stars"
"23","Biotin Shampoo for Hair Growth B-Complex Formula for Hair Loss Removes DHT for Thicker Fuller Hair Anti Dandruff Formula with Zinc Tea Tree Oil Extract Jojoba Oil Argan Oil For Women and Men 240ml (236 mL)","$21.95","47,659","4.3 out of 5 stars"
"24","Castor Oil-Cold Pressed, For Hair Growth, Bold Eyelashes & Eyebrows, Moisturizes Skin, Nails & Cuticles. Anti-Aging (30ml)","$19.99","114","4.4 out of 5 stars"
"25","Tangle Teezer Wet Detangler Hairbrush - Millennial Pink","$21.41","35,047","4.7 out of 5 stars"
"26","Got2B 220°C Heat Protection Spray Guardian Angel 200ml","$15.34","1,265","4.4 out of 5 stars"
"27","Shea Moisture Manuka Honey and Marfura Oil Intensive Hydration Conditioner, 384 ml, 13 oz","$14.59","9,938","4.5 out of 5 stars"
"28","3 Pack Microfiber Hair Towel Wrap BEoffer Super Absorbent Twist Turban for Women Fast Drying Hair Caps with Buttons for Drying Curly, Long & Thick Hair Anti Frizz (Gray+Pink+Blue)","$30.00","13,080","4.6 out of 5 stars"
"29","Garnier, Permanent Hair Colour, Ammonia Free and Nourishing, Olia, 4.0 Dark Brown","$18.00","82","4.5 out of 5 stars"
"30","Hair Curlers Rollers, Cludoo 36Pcs Jumbo Big Hair Roller Sets with Stainless Steel Duckbill Clip, 2 Size Self Grip Hair Curlers Rollers for Long Medium Short Thick Fine Thin Hair Bangs Volume","$17.99","3,587","4.2 out of 5 stars"
