"","Products","Price","Rating","Reviews"
"1","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black","$179.00","610","4.7 out of 5 stars"
"2","Fire TV Stick 4K Max | Stream BINGE, Kayo Sports, Netflix, Prime Video","$119.00","342","4.6 out of 5 stars"
"3","Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light","$299.00","939","4.7 out of 5 stars"
"4","Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light","$269.00","1,510","4.7 out of 5 stars"
"5","Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal","$119.00","2,292","4.4 out of 5 stars"
"6","Fire TV Stick Lite | Stream BINGE, Kayo Sports, Netflix, Prime Video","$59.00","830","4.6 out of 5 stars"
"7","Fire TV Stick 4K | Stream BINGE, Kayo Sports, Netflix, Prime Video","$79.00","534","4.7 out of 5 stars"
"8","Ring Video Doorbell (2nd Generation) – 1080p HD video, improved motion detection, easy installation – Venetian Bronze","$137.00","149,145","4.5 out of 5 stars"
"9","Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White","$119.00","1,179","4.6 out of 5 stars"
"10","Ring Chime","$59.00","456","4.6 out of 5 stars"
"11","NuPro Antimicrobial Screen Protector for Kindle Paperwhite Signature Edition (11th generation, 2021)","$19.95","79","4.6 out of 5 stars"
"12","Made for Amazon, USB Power Cable (Eliminates the Need for AC Adaptor)","$29.95","58,665","4.6 out of 5 stars"
"13","Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Glacier White","$119.00","2,292","4.4 out of 5 stars"
"14","NuPro Antimicrobial Screen Protector for Kindle Paperwhite (11th Gen, 2021)","$19.95","108","4.6 out of 5 stars"
"15","Ring Rechargeable Battery Pack","$49.00","169","4.7 out of 5 stars"
"16","Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue","$119.00","1,179","4.6 out of 5 stars"
"17","Amazon 9W Official OEM USB Charger and Power Adaptor for Kindle eReaders","$29.95","39","4.7 out of 5 stars"
"18","Amazon Kindle Scribe (64 GB), the first Kindle and digital notebook, all in one, with a 10.2” 300 ppi Paperwhite display, includes Premium Pen","$679.00","217","4.3 out of 5 stars"
"19","Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Edition. Only compatible with Kindle Paperwhite Signature Edition.","$54.95","53","4.6 out of 5 stars"
"20","Kindle Paperwhite Fabric Cover - Agave Green (11th Generation-2021)","$44.95","3,547","4.7 out of 5 stars"
"21","Crocs Unisex Adult Classic Clog","$70.51","437,658","4.8 out of 5 stars"
"22","QUMOX High Precision Digital Travel Scale for Suitcase Luggage Weight 110lb 50KG Capacity, Heavy Duty Hanging, Silver","$15.99","1,831","4.5 out of 5 stars"
"23","Bonds Men's Underwear Cotton Blend Guyfront Trunk","$29.92","1,080","4.6 out of 5 stars"
"24","BAGAIL 8 Set Packing Cubes, Lightweight Travel Luggage Organizers with Shoe Bag, Toiletry Bag & Laundry Bag (Beige)","$61.01","23,775","4.5 out of 5 stars"
"25","JOTO Water Shoes for Women Men Kids, Barefoot Quick-Dry Aqua Water Socks Slip-on Swim Beach Shoes for Snorkeling Surfing Kayaking Beach Walking Yoga","$14.99","9,772","4.4 out of 5 stars"
"26","Unthewe Workout Butt Lifting Shorts for Women High Waisted Seamless Gym Yoga Booty Shorts","$15.75","1,229","4.3 out of 5 stars"
"27","Arch Support Orthotic Insoles, H HOME-MART Plantar Fasciitis Insole, Full Length Heel Seats Foot Orthotic Inserts with Arch Support for Treating Heel Pain and Heel Spurs (S(EU 39-41)","$19.95","654","4.3 out of 5 stars"
"28","Cabeau Evolution S3 Travel Pillow","$47.90","339","4.5 out of 5 stars"
"29","MUSICOZY Sleep Headphones Bluetooth Sports Headband, Wireless Music Headband Headphones, IPX6 Waterproof Headphones with Mic for Sleeping Workout Running Side Sleepers Travel Yoga","$21.59","17,391","4.2 out of 5 stars"
"30","Compression Socks (3 Pairs) 15-20 mmhg is BEST Athletic & Medical for Men & Women, Running, Flight, Travel, Nurses,Edema","$13.69","98,542","4.4 out of 5 stars"
"31","trtl Travel and Airplane Pillow - Real Sleeping Experience on Long Flights - Neck and Shoulder Support - Super-Soft, Lightweight, Easy-to-Carry, and Machine-Washable Flight Pillow","$136.37","33,501","4.3 out of 5 stars"
"32","Packing Cubes, 9 Set Packing Cubes with Shoe Bag & Electronics Bag - Luggage Organizers Suitcase Travel Accessories (Black)","$23.99","512","4.3 out of 5 stars"
"33","Amazon Basics Reusable Vacuum Compression Storage Bags with Free Hand Pump - Medium, 5-Pack - Best for Travel Packing","$15.90","82,425","4.4 out of 5 stars"
"34","Lululemon Everywhere Belt Bag 1L (Black)","$31.44","4,274","4.7 out of 5 stars"
"35","Cipway Compression Packing Cubes for Travel-Expandable Luggage Organizer Set Pack More in Less Space,Travel Gear Accessories (Grey 3pcs)","$31.99","4,631","4.5 out of 5 stars"
"36","Casio F91W-1 Unisex Black Digital Watch with Black Band","$25.00","8,634","4.6 out of 5 stars"
"37","RJ-Sport Tieless Elastic Shoe Laces - Heavy Duty No Tie Shoelaces for Kids and Adult with Strong Lock and Speed Shoestrings","$8.99","12,075","4.3 out of 5 stars"
"38","Compression Packing Cubes for Carry On Suitcases, 4pcs a Set Compression Packing Cubes for Travel compression bags for Packing Organisers Expandable Storage Travel Accessories Luggage-Skyblue","$27.99","91","4.5 out of 5 stars"
"39","Bonds Women's Underwear Comfy Crop","$9.00","758","4.3 out of 5 stars"
"40","Closemate Mens Trainer Socks Invisible No Show Socks for Men Women Ladies 6 Pairs Low Cut Casual Cotton Liner Socks with Non-Slip Silicone Stripes","$21.99","11,145","4.5 out of 5 stars"
"41","Edge of Tomorrow Ultimate Collector's Edition [4k Ultra-HD]","$41.86","2,971","4.7 out of 5 stars"
"42","Tar [4K UHD]","$59.33","Blu-ray","4.7 out of 5 stars"
"43","Paramount Scares - Volume 1","$50.18","Johnny Depp","4.7 out of 5 stars"
"44","Dune (UHD/ BD)","$67.32","3,825","4.5 out of 5 stars"
"45","Ronin (4KUHD) [4K UHD]","$268.11","Blu-ray","4.6 out of 5 stars"
"46","Babylon 5: The Complete Series [Blu-ray] [1994] [Region Free]","$64.38","Christopher Priest","4.7 out of 5 stars"
"47","The Ultimate Avatar: The Legend of Aang & The Legend of Korra Complete Blu-ray Collection [2021] [Region Free]","$40.42","1,138","4.6 out of 5 stars"
"48","ARRIVAL 4K UHD + BD","$50.45","Blu-ray","4.6 out of 5 stars"
"49","Marvel Studio's Guardians of the Galaxy Vol.3 [Blu-ray] [Region A & B & C]","$35.62","370","4.7 out of 5 stars"
"50","Deep Impact","$127.03","Blu-ray","4.7 out of 5 stars"
"51","Indiana Jones & The Dial Of Destiny [Blu-ray] [Region Free]","$114.84","24","4.4 out of 5 stars"
"52","Planet Earth III [4K Ultra-HD] [Blu-ray]","$85.57","Blu-ray","4.6 out of 5 stars"
"53","Marvel Studio's Guardians of the Galaxy Vol.3 [Blu-ray] [Region A & B & C]","$146.41","Mia Farrow","4.8 out of 5 stars"
"54","Indiana Jones & The Dial Of Destiny 4K UHD [Blu-ray] [Region Free]","$39.61","1,868","4.5 out of 5 stars"
"55","The Exterminating Angel (The Criterion Collection) [Blu-ray]","$35.62","Blu-ray","4.7 out of 5 stars"
"56","Strike Back - The Complete Collection [DVD] [2020]","$58.39","Travis Beacham","4.7 out of 5 stars"
"57",NA,"$41.17","1,480","4.5 out of 5 stars"
"58",NA,"$53.34","Blu-ray","4.6 out of 5 stars"
"59",NA,"$70.52","5,762","4.0 out of 5 stars"
"60",NA,"$59.07","Blu-ray","4.7 out of 5 stars"
"61","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","$5.50","1,765","4.8 out of 5 stars"
