"","Products","Price","Ratings","Reviews"
"1","Basesailor USB to USB C Adapter 2 Pack,USB C Female to A Male Charger Type C Converter for Apple Watch Ultra iWatch 7 8 SE,iPhone 15 14 13 12 Plus Pro Max Mini,AirPods,iPad Air,Samsung Galaxy S23 S22","$8.99","85,514","4.7 out of 5 stars"
"2","Laser Clean Range Air Duster 400Ml for Computer Cleaning, PC, Laptop, Console, Electronics and Home Cleaning, Keyboard, Car","$14.00","659","4.5 out of 5 stars"
"3","iPhone Fast Charger, 20W iPhone/iPad Charger Adapter with USB-C to Lightning Cable 1m, Aerostralia USB C Apple Charger Adapter with Lightning Cord Compatible with iPhone 14/13/12/11/X/9, iPad, Airpods","$17.99","273","4.0 out of 5 stars"
"4","INIU USB C to USB C Cable 100W Fast Charger [2m+2m] PD 5A Type C to Type C Cables, Nylon Braided USB-C Phone Fast Charging for iPhone 15 Samsung S22 S23 Note 20 iPad Pro MacBook Laptop Tablet Google","$16.99","12,571","4.7 out of 5 stars"
"5","UGREEN USB C Cable Type C to USB A Fast Charger Nylon Braided Cord Compatible with iPhone 15 Pro Max, Samsung Galaxy S22 S23 Note 20 10, LG G8 G7 V40, GoPro Hero, Switch, Motorola Moto, Nokia(0.5M)","$10.99","9,301","4.6 out of 5 stars"
"6","USB C to Lightning Cable 3Pack 6FT [Apple MFi Certified] iPhone Fast Charger Cable USB-C Power Delivery Charging Cord Compatible with iPhone 14/13/12/11/XS/Max/XR/X/8/iPad, White","$14.99","11,132","4.3 out of 5 stars"
"7","Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Gray","$22.25","10,538","4.5 out of 5 stars"
"8","UGREEN SD Card Reader USB 3.0 Dual Slot Flash Memory Card Reader TF, SD, Micro SD, SDXC, SDHC, MMC, RS-MMC, Micro SDXC, Micro SDHC, UHS-I for Mac, Windows, Linux, Chrome, Read 2 Cards Simultaneously","$11.99","21,276","4.6 out of 5 stars"
"9","UGREEN USB C Cable Type C to USB A Fast Charger Nylon Braided Cord Compatible with iPhone 15 Pro Max, Samsung Galaxy S22 S23 Note 20 10, LG G8 G7 V40, GoPro Hero, Switch, Motorola Moto, Nokia(1M)","$11.99","9,301","4.6 out of 5 stars"
"10","iPhone Fast Chargers, [2-Pack] 20W iPhone/iPad Charger Adapter with USB-C to Lightning Cable 1m, USB C Apple Charger Adapter with Lightning Cord Compatible with iPhone 14/13/12/11/X/9/8, iPad, Airpod","$20.99","128","4.1 out of 5 stars"
