"","MovieTitle","Usernames","Ratings","ReviewDate","Review"
"1","Dune","FabledGentleman","9/10","13 September 2021",NA
"2","Dune","Sleepin_Dragon","10/10","23 October 2021",NA
"3","Dune","classicsoncall","9/10","22 October 2021",NA
"4","Dune","851222","8/10","17 September 2021",NA
"5","Dune","Hitchcoc","8/10","22 October 2021",NA
"6","Dune","SnoopyStyle","8/10","21 October 2021",NA
"7","Dune","paulclaassen","6/10","26 October 2021",NA
"8","Dune","questl-18592","5/10","29 October 2021",NA
"9","Dune","Pairic","9/10","19 October 2021",NA
"10","Dune","aarongnr","10/10","15 September 2021",NA
