"","X","Title","Author","Subject","Abstract","Meta"
"1",1,"spline trajectory tracking and obstacle avoidance for mobile agents via convex optimization","akua dickson, christos g. cassandras, roberto tron","systems and control (eess.sy)","we propose an output feedback control-based motion planning technique for agents to enable them to converge to a specified polynomial trajectory while imposing a set of safety constraints on our controller to avoid collisions within the free configuration space (polygonal environment). to achieve this, we ) decompose our polygonal environment into different overlapping cells ) write out our polynomial trajectories as the output of a reference dynamical system with given initial conditions ) formulate convergence and safety constraints as linear matrix inequalities (lmis) on our controller using control lyapunov functions (clfs) and control barrier functions (cbfs) and ) solve a semi-definite programming (sdp) problem with convergence and safety constraints imposed to synthesize a controller for each convex cell. extensive simulations are included to test our motion planning method under different initial conditions and different reference trajectories. the synthesized controller is robust to changes in initial conditions and is always safe relative to the boundaries of the polygonal environment.",2024-03-25
"2",2,"bi-objective optimization in role mining","jason crampton, eduard eiben, gregory gutin, daniel karapetyan, diptapriyo majumdar","cryptography and security (cs.cr)","role mining is a technique used to derive a role-based authorization policy from an existing policy. given a set of users $u$, a set of permissions $p$ and a user-permission authorization relation $\mahtit{upa}\subseteq u\times p$, a role mining algorithm seeks to compute a set of roles $r$, a user-role authorization relation $\mathit{ua}\subseteq u\times r$ and a permission-role authorization relation $\mathit{pa}\subseteq r\times p$, such that the composition of $\mathit{ua}$ and $\mathit{pa}$ is close (in some appropriate sense) to $\mathit{upa}$.
in this paper, we first introduce the generalized noise role mining problem (gnrm) -- a generalization of the minnoise role mining problem -- which we believe has considerable practical relevance. extending work of fomin et al., we show that gnrm is fixed parameter tractable, with parameter $r + k$, where $r$ is the number of roles in the solution and $k$ is the number of discrepancies between $\mathit{upa}$ and the relation defined by the composition of $\mathit{ua}$ and $\mathit{pa}$. we further introduce a bi-objective optimization variant of gnrm, where we wish to minimize both $r$ and $k$ subject to upper bounds $r\le \bar{r}$ and $k\le \bar{k}$, where $\bar{r}$ and $\bar{k}$ are constants. we show that the pareto front of this bi-objective optimization problem (bo-gnrm) can be computed in fixed-parameter tractable time with parameter $\bar{r}+\bar{k}$.
we then report the results of our experimental work using the integer programming solver gurobi to solve instances of bo-gnrm. our key findings are that (a) we obtained strong support that gurobi's performance is fixed-parameter tractable, (b) our results suggest that our techniques may be useful for role mining in practice, based on our experiments in the context of three well-known real-world authorization policies.",2024-03-25
"3",3,"power-aware sparse reflect beamforming in active ris-aided interference channels","ruizhe long, hu zhou, ying-chang liang","information theory (cs.it)","active reconfigurable intelligent surface (ris) has attracted significant attention in wireless communications, due to its reflecting elements (res) capable of reflecting incident signals with not only phase shifts but also amplitude amplifications. in this paper, we are interested in active ris-aided interference channels in which $k$ user pairs share the same time and frequency resources with the aid of active ris. thanks to the promising amplitude amplification capability, activating a moderate number of res, rather than all of them, is sufficient for the active ris to mitigate cross-channel interferences. motivated by this, we propose a power-aware sparse reflect beamforming design for the active ris-aided interference channels, which allows the active ris to flexibly adjust the number of activated res for the sake of reducing hardware and power costs. specifically, we establish the power consumption model in which only those activated res consume the biasing and operation power that supports the amplitude amplification, yielding an $\ell_$-norm power consumption function. based on the proposed model, we investigate a sum-rate maximization problem and an active ris power minimization problem by carefully designing the sparse reflect beamforming vector. to solve these problems, we first replace the nonconvex $\ell_$-norm function with an iterative reweighted $\ell_$-norm function. then, fractional programming is used to solve the sum-rate maximization, while semidefinite programming together with the difference-of-convex algorithm (dca) is used to solve the active ris power minimization. numerical results show that the proposed sparse designs can notably increase the sum rate of user pairs and decrease the power consumption of active ris in interference channels.",2024-03-25
"4",4,"a monte carlo simulation of the broad band x-ray emission of the accreting millisecond x-ray pulsar maxi j-","yuan you (), shuang-nan zhang (), zhaosheng li (), mingyu ge () (() key laboratory of particle astrophysics, institute of high energy physics, chinese academy of sciences, beijing, china, () key laboratory of stars and interstellar medium, xiangtan university, xiangtan university, xiangtan, hunan, china)","high energy astrophysical phenomena (astro-ph.he)","maxi j- is an accreting millisecond x-ray pulsar (amxp) discovered in . according to the insight-hxmt data, the pulsations of this source extend all the way to over  kev, and its pulse profiles change from a single peak in low-energy range to double peaks in high-energy range. in this work, we simulate its energy spectra and pulse profiles with a compton scattering monte carlo program. the simulation results suggest that the low energy x-ray source on the neutron star surface should be pencil-beamed radiations from the magnetic poles, and there should be a boundary layer in a hollow cylinder shape between the accretion disc and the neutron star surface: the up-scattering of the polar radiations in the boundary layer leads to the double peak structure of the high-energy pulse profile. under this boundary layer geometry, we suggest that the rarity of amxps can be caused by the smearing of the boundary layer. to estimate the mass m and radius r of accretion-powered millisecond pulsars whose surface radiations are badly polluted by the accretion disk and boundary layer, the impact of compton scattering in the boundary layer on the radiation should be removed before employing the x-ray pulse profile modeling method.",2024-03-25
"5",5,"percentile optimization in wireless networks- part i: power control for max-min-rate to sum-rate maximization (and everything in between)","ahmad ali khan, raviraj adve","information theory (cs.it)","improving throughput for cell-edge users through coordinated resource allocation has been a long-standing driver of research in wireless cellular networks. while a variety of wireless resource management problems focus on sum utility, max-min utility and proportional fair utility, these formulations do not explicitly cater to cell-edge users and can, in fact, be disadvantageous to them. in this two-part paper series, we introduce a new class of optimization problems called percentile programs, which allow us to explicitly formulate problems that target lower-percentile throughput optimization for cell-edge users. part i focuses on the class of least-percentile throughput maximization through power control. this class subsumes the well-known max-min and max-sum-rate optimization problems as special cases. apart from these two extremes, we show that least-percentile rate programs are non-convex, non-smooth and strongly np-hard in general for multiuser interference networks, making optimization extremely challenging. we propose cyclic maximization algorithms that transform the original problems into equivalent block-concave forms, thereby enabling guaranteed convergence to stationary points. comparisons with state-of-the-art optimization algorithms such as successive convex approximation and sequential quadratic programming reveal that our proposed algorithms achieve superior performance while computing solutions orders of magnitude faster.",2024-03-25
"6",6,"safe reinforcement learning for constrained markov decision processes with stochastic stopping time","abhijit mazumdar, rafal wisniewski, manuela l. bujorianu","machine learning (cs.lg)","in this paper, we present an online reinforcement learning algorithm for constrained markov decision processes with a safety constraint. despite the necessary attention of the scientific community, considering stochastic stopping time, the problem of learning optimal policy without violating safety constraints during the learning phase is yet to be addressed. to this end, we propose an algorithm based on linear programming that does not require a process model. we show that the learned policy is safe with high confidence. we also propose a method to compute a safe baseline policy, which is central in developing algorithms that do not violate the safety constraints. finally, we provide simulation results to show the efficacy of the proposed algorithm. further, we demonstrate that efficient exploration can be achieved by defining a subset of the state-space called proxy set.",2024-03-23
"7",7,"operational experience and r&d results using the google cloud for high energy physics in the atlas experiment","fernando barreiro megino, kaushik de, johannes elmsheuser, alexei klimentov, mario lassnig, miles euell, nikolai hartmann, tadashi maeno, verena martinez outschoorn, jay ajitbhai sandesara, dustin sell","high energy physics - experiment (hep-ex)","the atlas experiment at cern relies on a worldwide distributed computing grid infrastructure to support its physics program at the large hadron collider. atlas has integrated cloud computing resources to complement its grid infrastructure and conducted an r&d program on google cloud platform. these initiatives leverage key features of commercial cloud providers: lightweight configuration and operation, elasticity and availability of diverse infrastructure. this paper examines the seamless integration of cloud computing services as a conventional grid site within the atlas workflow management and data management systems, while also offering new setups for interactive, parallel analysis. it underscores pivotal results that enhance the on-site computing model and outlines several r&d projects that have benefited from large-scale, elastic resource provisioning models. furthermore, this study discusses the impact of cloud-enabled r\&d projects in three domains: accelerators and ai/ml, arm cpus and columnar data analysis techniques.",2024-03-23
"8",8,"energy efficient design of active star-ris-aided swipt systems","sajad faramarzi, hosein zarini, sepideh javadi, mohammad robat mili, rui zhang, george k. karagiannidis, naofal al-dhahir","information theory (cs.it)","in this paper, we consider the downlink transmission of a multi-antenna base station (bs) supported by an active simultaneously transmitting and reconfigurable intelligent surface (star-ris) to serve single-antenna users via simultaneous wireless information and power transfer (swipt). in this context, we formulate an energy efficiency maximisation problem that jointly optimises the gain, element selection and phase shift matrices of the active star-ris, the transmit beamforming of the bs and the power splitting ratio of the users. with respect to the highly coupled and non-convex form of this problem, an alternating optimisation solution approach is proposed, using tools from convex optimisation and reinforcement learning. specifically, semi-definite relaxation (sdr), difference of concave functions (dc), and fractional programming techniques are employed to transform the non-convex optimisation problem into a convex form for optimising the bs beamforming vector and the power splitting ratio of the swipt. then, by integrating meta-learning with the modified deep deterministic policy gradient (ddpg) and soft actor-critical (sac) methods, a combinatorial reinforcement learning network is developed to optimise the element selection, gain and phase shift matrices of the active star-ris. our simulations show the effectiveness of the proposed resource allocation scheme. furthermore, our proposed active star-ris-based swipt system outperforms its passive counterpart by % on average.",2024-03-23
"9",9,"codeshell technical report","rui xie, zhengran zeng, zhuohao yu, chang gao, shikun zhang, wei ye","software engineering (cs.se)","code large language models mark a pivotal breakthrough in artificial intelligence. they are specifically crafted to understand and generate programming languages, significantly boosting the efficiency of coding development workflows. in this technical report, we present codeshell-base, a seven billion-parameter foundation model with k context length, showcasing exceptional proficiency in code comprehension. by incorporating grouped-query attention and rotary positional embedding into gpt-, codeshell-base integrates the structural merits of starcoder and codellama and forms its unique architectural design. we then carefully built a comprehensive data pre-processing process, including similar data deduplication, perplexity-based data filtering, and model-based data filtering. through this process, we have curated  billion high-quality pre-training data from github. benefiting from the high-quality data, codeshell-base outperforms codellama in humaneval after training on just  billion tokens ( epochs). we have conducted extensive experiments across multiple language datasets, including python, java, and c++, and the results indicate that our model possesses robust foundational capabilities in code comprehension and generation.",2024-03-23
"10",10,"ac: algebraic computation checker for circuit constraints in zkps","hao chen, minyu chen, ruibang liu, guoqiang li","software engineering (cs.se)","zkp systems have surged attention and held a fundamental role in contemporary cryptography. zk-snark protocols dominate the zkp usage, often implemented through arithmetic circuit programming paradigm. however, underconstrained or overconstrained circuits may lead to bugs. underconstrained circuits refer to circuits that lack the necessary constraints, resulting in unexpected solutions in the circuit and causing the verifier to accept a bogus witness. overconstrained circuits refer to circuits that are constrained excessively, resulting in the circuit lacking necessary solutions and causing the verifier to accept no witness, rendering the circuit meaningless. this paper introduces a novel approach for pinpointing two distinct types of bugs in zkp circuits. the method involves encoding the arithmetic circuit constraints to polynomial equation systems and solving polynomial equation systems over a finite field by algebraic computation. the classification of verification results is refined, greatly enhancing the expressive power of the system. we proposed a tool, ac, to represent the implementation of this method. experiments demonstrate that ac represents a substantial % increase in the checked ratio compared to prior work. within a solvable range, the checking time of ac has also exhibited noticeable improvement, demonstrating a magnitude increase compared to previous efforts.",2024-03-23
"11",11,"(towards a) statistical probabilistic lazy lambda calculus","radha jagadeesan","logic in computer science (cs.lo)","we study the desiderata on a model for statistical probabilistic programming languages. we argue that they can be met by a combination of traditional tools, namely open bisimulation and probabilistic simulation.",2024-03-22
"12",12,"programmers prefer individually assigned tasks vs. shared responsibility","adela krylova, roman makarov, sergei pasynkov, yegor bugayenko","software engineering (cs.se)","in traditional management, tasks are typically assigned to individuals, with each worker taking full responsibility for the success or failure of a task. in contrast, modern agile, lean, and extreme programming practices advocate for shared responsibility, where an entire group is accountable for the outcome of a project or task. despite numerous studies in other domains, the preferences of programmers have not been thoroughly analyzed. to address this gap, we conducted a survey featuring seven situational questions and collected the opinions of  software development practitioners. our findings reveal that programmers prefer tasks to be assigned to them on an individual basis and appreciate taking personal responsibility for failures, as well as receiving individual rewards for successes. understanding these preferences is crucial for project managers aiming to optimize team dynamics and ensure the successful completion of software projects.",2024-03-22
"13",13,"real-time safety index adaptation for parameter-varying systems via determinant gradient ascend","rui chen, weiye zhao, ruixuan liu, weiyang zhang, changliu liu","systems and control (eess.sy)","safety index synthesis (sis) is critical for deriving safe control laws. recent works propose to synthesize a safety index (si) via nonlinear programming and derive a safe control law such that the system ) achieves forward invariant (fi) with some safe set and ) guarantees finite time convergence (ftc) to that safe set. however, real-world system dynamics can vary during run-time, making the control law infeasible and invalidating the initial si. since the full sis nonlinear programming is computationally expensive, it is infeasible to re-synthesize the si each time the dynamics are perturbed. to address that, this paper proposes an efficient approach to adapting the si to varying system dynamics and maintaining the feasibility of the safe control law. the proposed method leverages determinant gradient ascend and derives a closed-form update to safety index parameters, enabling real-time adaptation performance. a numerical study validates the effectiveness of our approach.",2024-03-22
"14",14,"fat api bindings of c++ objects into scripting languages","russell k. standish","programming languages (cs.pl)","a fat api exposes nearly all of a c++ object's public attributes and methods to a consuming environment, such as a scripting language, or web client. this can be contrasted with a conventional, or thin api, where the api is defined up front, and the c++ object provides the implementation, most of which is private to the c++ layer. obviously, reflection is required to expose c++ objects to a consuming layer like this -- this paper explores using the classdesc system to implement reflection of c++ objects into a javascript/typescript environment via a restservice, and also via a node.js api module.",2024-03-22
"15",15,"a survey of neural code intelligence: paradigms, advances and beyond","qiushi sun, zhirui chen, fangzhi xu, kanzhi cheng, chang ma, zhangyue yin, jianing wang, chengcheng han, renyu zhu, shuai yuan, qipeng guo, xipeng qiu, pengcheng yin, xiaoli li, fei yuan, lingpeng kong, xiang li, zhiyong wu","software engineering (cs.se)","neural code intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. bridging the gap between natural language and programming language, this domain has drawn significant attention from researchers in both research communities over the past few years. this survey presents a systematic and chronological review of the advancements in code intelligence, encompassing over  representative models and their variants, more than  categories of tasks, and an extensive coverage of over  related works. we follow the historical progression to trace the paradigm shifts across different research phases (e.g., from modeling code with recurrent neural networks to the era of large language models). concurrently, we highlight the major technical transitions in models, tasks, and evaluations spanning through different stages. for applications, we also observe a co-evolving shift. it spans from initial endeavors to tackling specific scenarios, through exploring a diverse array of tasks during its rapid expansion, to currently focusing on tackling increasingly complex and varied real-world challenges. building on our examination of the developmental trajectories, we further investigate the emerging synergies between code intelligence and broader machine intelligence, uncovering new cross-domain opportunities and illustrating the substantial influence of code intelligence across various domains. finally, we delve into both the opportunities and challenges associated with this field, alongside elucidating our insights on the most promising research directions. an ongoing, dynamically updated project and resources associated with this survey have been released at this https url.",2024-03-21
"16",16,"personalized programming guidance based on deep programming learning style capturing","yingfan liu, renyu zhu, ming gao","computers and society (cs.cy)","with the rapid development of big data and ai technology, programming is in high demand and has become an essential skill for students. meanwhile, researchers also focus on boosting the online judging system's guidance ability to reduce students' dropout rates. previous studies mainly targeted at enhancing learner engagement on online platforms by providing personalized recommendations. however, two significant challenges still need to be addressed in programming: c) how to recognize complex programming behaviors; c) how to capture intrinsic learning patterns that align with the actual learning process. to fill these gaps, in this paper, we propose a novel model called programming exercise recommender with learning style (pers), which simulates learners' intricate programming behaviors. specifically, since programming is an iterative and trial-and-error process, we first introduce a positional encoding and a differentiating module to capture the changes of consecutive code submissions (which addresses c). to better profile programming behaviors, we extend the felder-silverman learning style model, a classical pedagogical theory, to perceive intrinsic programming patterns. based on this, we align three latent vectors to record and update programming ability, processing style, and understanding style, respectively (which addresses c). we perform extensive experiments on two real-world datasets to verify the rationality of modeling programming learning styles and the effectiveness of pers for personalized programming guidance.",2024-02-20
"17",17,"designing robust linear output feedback controller based on clf-cbf framework via linear~programming(lp-clf-cbf)","mahroo bahreinian, mehdi kermanshah, roberto tron","systems and control (eess.sy)","we consider the problem of designing output feedback controllers that use measurements from a set of landmarks to navigate through a cell-decomposable environment using duality, control lyapunov and barrier functions (clf, cbf), and linear programming. we propose two objectives for navigating in an environment, one to traverse the environment by making loops and one by converging to a stabilization point while smoothing the transition between consecutive cells. we test our algorithms in a simulation environment, evaluating the robustness of the approach to practical conditions, such as bearing-only measurements, and measurements acquired with a camera with a limited field of view.",2024-03-21
"18",18,"early planet formation in embedded disks (edisk) xiii: aligned disks with non-settled dust around the newly resolved class  protobinary r cra iras ","frankie j. encalada, leslie w. looney, shigehisa takakuwa, john j. tobin, nagayoshi ohashi, jes k. jørgensen, zhi-yun li, yuri aikawa, yusuke aso, patrick m. koch, woojin kwon, shih-ping lai, chang won lee, zhe-yu daniel lin, alejandro santamarıa-miranda, itziar de gregorio-monsalvo, nguyen thi phuong, adele plunkett, jinshi sai (insa choi), rajeeb sharma, hsi-wei yen, ilseung han","solar and stellar astrophysics (astro-ph.sr)","young protostellar binary systems, with expected ages less than $\sim$$^$ years, are little modified since birth, providing key clues to binary formation and evolution. we present a first look at the young, class  binary protostellar system r cra iras  from the early planet formation in embedded disks (edisk) alma large program, which observed the system in the . mm continuum emission, $^{}$co (-), $^{}$co (-), c$^{}$o (-), so ($_$-$_$), and nine other molecular lines that trace disk, envelope, shocks, and outflows. with a continuum resolution of $\sim$.$^{\prime\prime}$ ($\sim$ au, at a distance of  pc), we characterize the newly discovered binary system with a separation of  au, their circumstellar disks, and a circumbinary disk-like structure. the circumstellar disk radii are .$\pm$. and .$\pm$. au for sources a and b, respectively, and their circumstellar disk dust masses are estimated as .$\pm$. and .$\pm$. m$_{\earth}$. the circumstellar disks and the circumbinary structure have well aligned position angles and inclinations, indicating formation in a smooth, ordered process such as disk fragmentation. in addition, the circumstellar disks have a near/far-side asymmetry in the continuum emission suggesting that the dust has yet to settle into a thin layer near the midplane. spectral analysis of co isotopologues reveals outflows that originate from both of the sources and possibly from the circumbinary disk-like structure. furthermore, we detect keplerian rotation in the $^{}$co isotopologues toward both circumstellar disks and likely keplerian rotation in the circumbinary structure; the latter suggests that it is probably a circumbinary disk.",2024-03-21
"19",19,"can chatgpt detect deepfakes? a study of using multimodal large language models for media forensics","shan jia, reilin lyu, kangran zhao, yize chen, zhiyuan yan, yan ju, chuanbo hu, xin li, baoyuan wu, siwei lyu","artificial intelligence (cs.ai)","deepfakes, which refer to ai-generated media content, have become an increasing concern due to their use as a means for disinformation. detecting deepfakes is currently solved with programmed machine learning algorithms. in this work, we investigate the capabilities of multimodal large language models (llms) in deepfake detection. we conducted qualitative and quantitative experiments to demonstrate multimodal llms and show that they can expose ai-generated images through careful experimental design and prompt engineering. this is interesting, considering that llms are not inherently tailored for media forensic tasks, and the process does not require programming. we discuss the limitations of multimodal llms for these tasks and suggest possible improvements.",2024-03-21
"20",20,"real groups, symmetric varieties and langlands duality","tsao-hsien chen, david nadler","representation theory (math.rt)","let $g_\mathbb r$ be a connected real reductive group and let $x$ be the corresponding complex symmetric variety under the cartan bijection. we construct a canonical equivalence between the relative satake category of $g(\mathcal o)$-equivariant $\mathbb c$-constructible complexes on the loop space of $x$ and the real satake category of $g_\mathbb r(\mathcal o_\mathbb r)$-equivariant $\mathbb c$-constructible complexes on the real affine grassmannian. we show that the equivalence is $t$-exact with respect to the natural perverse $t$-structures and is compatible with the fusion products and hecke actions. we further show that the relative satake category is equivalent to the category of $\mathbb c$-constructible complexes on the moduli stack of $g_\mathbb r$-bundles on the real projective line $\mathbb p^(\mathbb r)$ and hence provides a connection between the relative langlands program and the geometric langlands program for real groups. we provide numerous applications of the main theorems to real and relative langlands duality including the formality and commutativity conjectures for the real and relative satake categories and an identification of the dual groups for $g_\mathbb r$ and $x$.",2024-03-20
"21",21,"depyf: open the opaque box of pytorch compiler for machine learning researchers","kaichao you, runsheng bai, meng cao, jianmin wang, ion stoica, mingsheng long","machine learning (cs.lg)","pytorch \texttt{.x} introduces a compiler designed to accelerate deep learning programs. however, for machine learning researchers, adapting to the pytorch compiler to full potential can be challenging. the compiler operates at the python bytecode level, making it appear as an opaque box. to address this, we introduce \texttt{depyf}, a tool designed to demystify the inner workings of the pytorch compiler. \texttt{depyf} decompiles bytecode generated by pytorch back into equivalent source code, and establishes connections between in-memory code objects and their on-disk source code counterparts. this feature enables users to step through the source code line by line using debuggers, thus enhancing their understanding of the underlying processes. notably, \texttt{depyf} is non-intrusive and user-friendly, primarily relying on two convenient context managers for its core functionality. the project is \href{this https url}{ openly available} and is recognized as a \href{this https url}{pytorch ecosystem project}.",2024-03-14
"22",22,"taming differentiable logics with coq formalisation","reynald affeldt, alessandro bruni, ekaterina komendantskaya, natalia ślusarz, kathrin stark","logic in computer science (cs.lo)","for performance and verification in machine learning, new methods have recently been proposed that optimise learning systems to satisfy formally expressed logical properties. among these methods, differentiable logics (dls) are used to translate propositional or first-order formulae into loss functions deployed for optimisation in machine learning. at the same time, recent attempts to give programming language support for verification of neural networks showed that dls can be used to compile verification properties to machine-learning backends. this situation is calling for stronger guarantees about the soundness of such compilers, the soundness and compositionality of dls, and the differentiability and performance of the resulting loss functions. in this paper, we propose an approach to formalise existing dls using the mathematical components library in the coq proof assistant. thanks to this formalisation, we are able to give uniform semantics to otherwise disparate dls, give formal proofs to existing informal arguments, find errors in previous work, and provide formal proofs to missing conjectured properties. this work is meant as a stepping stone for the development of programming language support for verification of machine learning.",2024-03-20
"23",23,"tensor quantum programming","a. termanova, ar. melnikov, e. mamenchikov, n. belokonev, s. dolgov, a. berezutskii, r. ellerbrock, c. mansell, m. perelshtein","quantum physics (quant-ph)","running quantum algorithms often involves implementing complex quantum circuits with such a large number of multi-qubit gates that the challenge of tackling practical applications appears daunting. to date, no experiments have successfully demonstrated a quantum advantage due to the ease with which the results can be adequately replicated on classical computers through the use of tensor network algorithms. additionally, it remains unclear even in theory where exactly these advantages are rooted within quantum systems because the logarithmic complexity commonly associated with quantum algorithms is also present in algorithms based on tensor networks. in this article, we propose a novel approach called tensor quantum programming, which leverages tensor networks for hybrid quantum computing. our key insight is that the primary challenge of algorithms based on tensor networks lies in their high ranks (bond dimensions). quantum computing offers a potential solution to this challenge, as an ideal quantum computer can represent tensors with arbitrarily high ranks in contrast to classical counterparts, which indicates the way towards quantum advantage. while tensor-based vector-encoding and state-readout are known procedures, the matrix-encoding required for performing matrix-vector multiplications directly on quantum devices remained unsolved. here, we developed an algorithm that encodes matrix product operators into quantum circuits with a depth that depends linearly on the number of qubits. it demonstrates effectiveness on up to  qubits for several matrices frequently encountered in differential equations, optimization problems, and quantum chemistry. we view this work as an initial stride towards the creation of genuinely practical quantum algorithms.",2024-03-20
"24",24,"regent based parallel meshfree lskum solver for heterogenous hpc platforms","sanath salil, nischay ram mamidi, anil nemili, elliott slaughter","distributed, parallel, and cluster computing (cs.dc)","regent is an implicitly parallel programming language that allows the development of a single codebase for heterogeneous platforms targeting cpus and gpus. this paper presents the development of a parallel meshfree solver in regent for two-dimensional inviscid compressible flows. the meshfree solver is based on the least squares kinetic upwind method. example codes are presented to show the difference between the regent and cuda-c implementations of the meshfree solver on a gpu node. for cpu parallel computations, details are presented on how the data communication and synchronisation are handled by regent and fortran+mpi codes. the regent solver is verified by applying it to the standard test cases for inviscid flows. benchmark simulations are performed on coarse to very fine point distributions to assess the solver's performance. the computational efficiency of the regent solver on an a gpu is compared with an equivalent meshfree solver written in cuda-c. the codes are then profiled to investigate the differences in their performance. the performance of the regent solver on cpu cores is compared with an equivalent explicitly parallel fortran meshfree solver based on mpi. scalability results are shown to offer insights into performance.",2024-03-20
"25",25,"c analyzer : a static program analysis tool for c programs","rajendra kumar solanki","programming languages (cs.pl)","in our times, when the world is increasingly becoming more dependent on software programs, writing bug-free, correct programs is crucial. program verification based on formal methods can guarantee this by detecting run-time errors in safety-critical systems to avoid possible adverse impacts on human life and save time and money.
this project work tries to leverage abstract interpretation techniques for static analysis of c programs. c analyzer is a tool developed for static analysis of c programs. this implementation of c analyzer provides a plug-and-play domain architecture for multiple abstract domains to be used. c analyzer supports four abstract domains - interval, octagon, polyhedra, and bit vector. we use these different domains for required precision in program verification. c analyzer tool uses llvm c/c++ compiler frontend clang api to generate and traverse the control flow graph (cfg) of a given c program. this tool generates invariants in different abstract domains for statements in basic blocks of cfg during cfg traversal. using these invariants, some properties of a program, such as dividing by zero, modulus zero, arithmetic overflow, etc., can be analyzed. we also use a source-to-source transformation tool, cil (common intermediate language), to transform some c constructs into simpler constructs, such as transforming logical operators, switch statements, and conditional operators into if-else ladders and transforming do-while and for loops into while loops.
using c analyzer, c program constructs such as declarations, assignments, binary operations (arithmetic, relational, bitwise shift, etc.), conditions (if-else), loops (while, do while, for loop), nested conditions, and nested loops can be analyzed. currently, this tool does not support arrays, structures, unions, pointers, or function calls.",2024-01-28
