"","Products","Price","Rating","Reviews"
"1","fire tv stick 4k max | stream binge, kayo sports, netflix, prime video",79,"338",0.8
"2","kindle (2022 release) – the lightest and most compact kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - black",179,"610",NA
"3","kindle paperwhite signature edition (32 gb) – with a 6.8"" display, wireless charging, and auto-adjusting front light",299,"938",0.8
"4","kindle paperwhite (16 gb) – now with a 6.8"" display and adjustable warm light",269,"1,510",NA
"5","fire tv stick 4k | stream binge, kayo sports, netflix, prime video",59,"527",0.8
"6","echo show 5 (2nd gen, 2021 release) | smart display with alexa and 2 mp camera | charcoal",119,"2,292",NA
"7","fire tv stick lite | stream binge, kayo sports, netflix, prime video",59,"829",0.8
"8","ring video doorbell (2nd generation) – 1080p hd video, improved motion detection, easy installation – satin nickel",137,"149,060",NA
"9","ring rechargeable battery pack",49,"169",0.8
"10","echo show 5 (2nd gen, 2021 release) | smart display with alexa and 2 mp camera | glacier white",119,"2,292",NA
"11","nupro antimicrobial screen protector for kindle paperwhite signature edition (11th generation, 2021)",19,"78",0.8
"12","ring chime",59,"456",NA
"13","echo show 5 (2nd gen, 2021 release) | smart display with alexa and 2 mp camera | deep sea blue",119,"2,292",0.8
"14","made for amazon, usb power cable (eliminates the need for ac adaptor)",29,"58,643",NA
"15","amazon ethernet adapter for amazon fire tv devices",29,"7,593",0.8
"16","echo dot (5th gen, 2022 release) with clock | smart speaker with clock and alexa | glacier white",119,"1,178",NA
"17","amazon kindle scribe (64 gb), the first kindle and digital notebook, all in one, with a 10.2” 300 ppi paperwhite display, includes premium pen",679,"216",0.8
"18","made for amazon, wireless charging dock for kindle paperwhite signature edition. only compatible with kindle paperwhite signature edition.",54,"53",NA
"19","kindle paperwhite fabric cover - agave green (11th generation-2021)",44,"3,545",0.8
"20","amazon 9w official oem usb charger and power adaptor for kindle ereaders",29,"39",NA
"21","crocs unisex adult classic clog",70,"437,982",0.8
"22","qumox high precision digital travel scale for suitcase luggage weight 110lb 50kg capacity, heavy duty hanging, silver",15,"1,831",NA
"23","bonds men's underwear cotton blend guyfront trunk",29,"1,080",0.8
"24","bagail 8 set packing cubes, lightweight travel luggage organizers with shoe bag, toiletry bag & laundry bag (beige)",61,"23,766",NA
"25","joto water shoes for women men kids, barefoot quick-dry aqua water socks slip-on swim beach shoes for snorkeling surfing kayaking beach walking yoga",14,"9,769",0.8
"26","unthewe workout butt lifting shorts for women high waisted seamless gym yoga booty shorts",15,"1,228",NA
"27","arch support orthotic insoles, h home-mart plantar fasciitis insole, full length heel seats foot orthotic inserts with arch support for treating heel pain and heel spurs (s(eu 39-41)",19,"654",0.8
"28","packing cubes, 9 set packing cubes with shoe bag & electronics bag - luggage organizers suitcase travel accessories (black)",23,"511",NA
"29","bonds women's underwear comfy crop",9,"757",0.8
"30","amazon basics reusable vacuum compression storage bags with free hand pump - medium, 5-pack - best for travel packing",15,"82,357",NA
"31","cabeau evolution s3 travel pillow",47,"338",0.8
"32","compression socks (3 pairs) 15-20 mmhg is best athletic & medical for men & women, running, flight, travel, nurses,edema",13,"98,504",NA
"33","lululemon everywhere belt bag 1l (black)",31,"4,270",0.8
"34","compression packing cubes for carry on suitcases, 4pcs a set compression packing cubes for travel compression bags for packing organisers expandable storage travel accessories luggage-skyblue",27,"91",NA
