"","Products","Price","Rating","Reviews"
"1","Fire TV Stick 4K Max | Stream BINGE, Kayo Sports, Netflix, Prime Video","$79.00","338","4.6 out of 5 stars"
"2","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black","$179.00","610","4.7 out of 5 stars"
"3","Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light","$299.00","938","4.7 out of 5 stars"
"4","Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light","$269.00","1,510","4.7 out of 5 stars"
"5","Fire TV Stick 4K | Stream BINGE, Kayo Sports, Netflix, Prime Video","$59.00","527","4.7 out of 5 stars"
"6","Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal","$119.00","2,292","4.4 out of 5 stars"
"7","Fire TV Stick Lite | Stream BINGE, Kayo Sports, Netflix, Prime Video","$59.00","829","4.6 out of 5 stars"
"8","Ring Video Doorbell (2nd Generation) – 1080p HD video, improved motion detection, easy installation – Satin Nickel","$137.00","149,060","4.5 out of 5 stars"
"9","Ring Rechargeable Battery Pack","$49.00","169","4.7 out of 5 stars"
"10","Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Glacier White","$119.00","2,292","4.4 out of 5 stars"
"11","NuPro Antimicrobial Screen Protector for Kindle Paperwhite Signature Edition (11th generation, 2021)","$19.95","78","4.6 out of 5 stars"
"12","Ring Chime","$59.00","456","4.6 out of 5 stars"
"13","Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Deep Sea Blue","$119.00","2,292","4.4 out of 5 stars"
"14","Made for Amazon, USB Power Cable (Eliminates the Need for AC Adaptor)","$29.95","58,643","4.6 out of 5 stars"
"15","Amazon Ethernet Adapter for Amazon Fire TV Devices","$29.00","7,593","4.5 out of 5 stars"
"16","Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White","$119.00","1,178","4.6 out of 5 stars"
"17","Amazon Kindle Scribe (64 GB), the first Kindle and digital notebook, all in one, with a 10.2” 300 ppi Paperwhite display, includes Premium Pen","$679.00","216","4.3 out of 5 stars"
"18","Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Edition. Only compatible with Kindle Paperwhite Signature Edition.","$54.95","53","4.6 out of 5 stars"
"19","Kindle Paperwhite Fabric Cover - Agave Green (11th Generation-2021)","$44.95","3,545","4.7 out of 5 stars"
"20","Amazon 9W Official OEM USB Charger and Power Adaptor for Kindle eReaders","$29.95","39","4.7 out of 5 stars"
"21","Crocs Unisex Adult Classic Clog","$70.80","437,982","4.8 out of 5 stars"
"22","QUMOX High Precision Digital Travel Scale for Suitcase Luggage Weight 110lb 50KG Capacity, Heavy Duty Hanging, Silver","$15.99","1,831","4.5 out of 5 stars"
"23","Bonds Men's Underwear Cotton Blend Guyfront Trunk","$29.92","1,080","4.6 out of 5 stars"
"24","BAGAIL 8 Set Packing Cubes, Lightweight Travel Luggage Organizers with Shoe Bag, Toiletry Bag & Laundry Bag (Beige)","$61.01","23,766","4.5 out of 5 stars"
"25","JOTO Water Shoes for Women Men Kids, Barefoot Quick-Dry Aqua Water Socks Slip-on Swim Beach Shoes for Snorkeling Surfing Kayaking Beach Walking Yoga","$14.99","9,769","4.4 out of 5 stars"
"26","Unthewe Workout Butt Lifting Shorts for Women High Waisted Seamless Gym Yoga Booty Shorts","$15.85","1,228","4.3 out of 5 stars"
"27","Arch Support Orthotic Insoles, H HOME-MART Plantar Fasciitis Insole, Full Length Heel Seats Foot Orthotic Inserts with Arch Support for Treating Heel Pain and Heel Spurs (S(EU 39-41)","$19.95","654","4.3 out of 5 stars"
"28","Packing Cubes, 9 Set Packing Cubes with Shoe Bag & Electronics Bag - Luggage Organizers Suitcase Travel Accessories (Black)","$23.99","511","4.3 out of 5 stars"
"29","Bonds Women's Underwear Comfy Crop","$9.00","757","4.3 out of 5 stars"
"30","Amazon Basics Reusable Vacuum Compression Storage Bags with Free Hand Pump - Medium, 5-Pack - Best for Travel Packing","$15.90","82,357","4.4 out of 5 stars"
"31","Cabeau Evolution S3 Travel Pillow","$47.90","338","4.5 out of 5 stars"
"32","Compression Socks (3 Pairs) 15-20 mmhg is BEST Athletic & Medical for Men & Women, Running, Flight, Travel, Nurses,Edema","$13.69","98,504","4.4 out of 5 stars"
"33","Lululemon Everywhere Belt Bag 1L (Black)","$31.44","4,270","4.7 out of 5 stars"
"34","Compression Packing Cubes for Carry On Suitcases, 4pcs a Set Compression Packing Cubes for Travel compression bags for Packing Organisers Expandable Storage Travel Accessories Luggage-Skyblue","$27.99","91","4.5 out of 5 stars"
"35","Casio F91W-1 Unisex Black Digital Watch with Black Band","$25.00","8,629","4.6 out of 5 stars"
"36","NEW 100pcs Random PVC Different Shoe Charms for Croc Bands & Bracelet Wristband","$13.00","107","4.4 out of 5 stars"
