"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"KiwiRach","Reviewed in Australia on 19 August 2023","4.4 out of 5 stars","Verified Purchase","Ok so its not value for money if you just use the concentrate; find a container, add concentrate, dilute with water, pour over everything in the house, wash container and find somewhere to store it so you remember what you used it for...none of that, if you use this. Pour it into cap, tip into plant. Lazy and the plants seem to love it."
"2","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"Nohammockinmyhouse","Reviewed in Australia on 23 February 2024","5.0 out of 5 stars","Verified Purchase","Bought this for my peace lily and she loves it. Boosted growth and vitality."
"3","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"KiwiRach","Reviewed in Australia on 19 August 2023","3.0 out of 5 stars","Verified Purchase","I use this for peace lillies and they thrive off it!Easy to use"
"4","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"Anonymous","Reviewed in Australia on 2 August 2023","5.0 out of 5 stars","Verified Purchase","Best plant food I have ever used for all my indoor plants."
"5","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"Deborah","Reviewed in Australia on 17 February 2024","5.0 out of 5 stars",NA,NA
"6","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"AusArk","Reviewed in Australia on 11 May 2023","5.0 out of 5 stars",NA,NA
"7","Scotts Osmocote Pour and Feed House Plants 500ml",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"8","Scotts Osmocote Pour and Feed House Plants 500ml",NA,NA,NA,NA,NA,NA
"9","Scotts Osmocote Pour and Feed House Plants 500ml",NA,NA,NA,NA,NA,NA
"10","Scotts Osmocote Pour and Feed House Plants 500ml",NA,NA,NA,NA,NA,NA
"11","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"KiwiRach","Reviewed in Australia on 19 August 2023","4.4 out of 5 stars","Verified Purchase","Ok so its not value for money if you just use the concentrate; find a container, add concentrate, dilute with water, pour over everything in the house, wash container and find somewhere to store it so you remember what you used it for...none of that, if you use this. Pour it into cap, tip into plant. Lazy and the plants seem to love it."
"12","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"Nohammockinmyhouse","Reviewed in Australia on 23 February 2024","5.0 out of 5 stars","Verified Purchase","Bought this for my peace lily and she loves it. Boosted growth and vitality."
"13","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"KiwiRach","Reviewed in Australia on 19 August 2023","3.0 out of 5 stars","Verified Purchase","I use this for peace lillies and they thrive off it!Easy to use"
"14","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"Anonymous","Reviewed in Australia on 2 August 2023","5.0 out of 5 stars","Verified Purchase","Best plant food I have ever used for all my indoor plants."
"15","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"Deborah","Reviewed in Australia on 17 February 2024","5.0 out of 5 stars",NA,NA
"16","Scotts Osmocote Pour and Feed House Plants 500ml",NA,"AusArk","Reviewed in Australia on 11 May 2023","5.0 out of 5 stars",NA,NA
