"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Debco Premium Potting Mix 10L",NA,"SusanT",NA,"4.3 out of 5 stars","Verified Purchase","I needed a smaller bag to top up some outdoor plants. This is a 10L bag and so half the size of the normal ones. Will probably fill a 2-3 pot plants of regular size. Convenient to order these via Amazon due to quick delivery. Also not having to lug a bag home from the shops. Good mix inside the bag. This was value for money"
"2","Debco Premium Potting Mix 10L",NA,"Larrykin",NA,"5.0 out of 5 stars","Verified Purchase","Great stuff."
"3","Debco Premium Potting Mix 10L",NA,"SusanT",NA,"3.0 out of 5 stars","Verified Purchase","i used this soil to plant my tropical flowers indoor, 1 week used my flower blooming immidietly."
"4","Debco Premium Potting Mix 10L",NA,"Julie",NA,"5.0 out of 5 stars","Verified Purchase","All good its great for nourishing pot plants"
"5","Debco Premium Potting Mix 10L",NA,"The Good Buyer",NA,"5.0 out of 5 stars","Verified Purchase","My Spring bulbs are rocketing up, so it seems like a great purchase."
"6","Debco Premium Potting Mix 10L",NA,"Rod",NA,"5.0 out of 5 stars","Verified Purchase","Good soil"
"7","Debco Premium Potting Mix 10L",NA,"Wolfie Rankin",NA,"5.0 out of 5 stars","Verified Purchase","I started to repot a plant and realised i had run out of indoor potting mixture. Next day delivery sorta saved my plant from root rot. It has a lot less gnats than the one i got from Bunnings!"
"8","Debco Premium Potting Mix 10L",NA,"Maz",NA,"5.0 out of 5 stars","Verified Purchase","No dislikes, follow the instructions and you will find it’s easy to use. Good quality and good value for your money."
"9","Debco Premium Potting Mix 10L",NA,"TBird",NA,"5.0 out of 5 stars","Verified Purchase","Works as intended"
"10","Debco Premium Potting Mix 10L",NA,"Radar",NA,"5.0 out of 5 stars","Verified Purchase","I used this potting mix to up-size some of my patio plants and am very happy with the mix. No pieces of bark or sticks as in other potting mixes I have tried, just a dark, sweet smelling medium to plant into. I hope my plants are as pleased with it as I am! I shall use this again when I need more. I just pity the poor delivery driver staggering up the steps with2 bags of it, but he seemed to take it in his stride."
"11","Debco Premium Potting Mix 10L",NA,"SusanT",NA,"4.3 out of 5 stars","Verified Purchase","As described."
"12","Debco Premium Potting Mix 10L",NA,"Larrykin",NA,"5.0 out of 5 stars","Verified Purchase","Looks like decent potting mix, there was no rubbish in there like some of them have. So far so good!"
"13","Debco Premium Potting Mix 10L",NA,"Angela B",NA,"3.0 out of 5 stars","Verified Purchase","Well I'm certainly not a gardening expert but this product seems quite good 👍 it has a nice dark rich texture and it doesn't have much odour to it (in case you have a inquisitive dog like mine haha)🤞I guess the bag is reasonably small but at only $10 I think it's quite ok value 🤙Depending on what you're doing of course you may need more than one 👌"
"14","Debco Premium Potting Mix 10L",NA,"Terrisa Kennedy",NA,"5.0 out of 5 stars","Verified Purchase","It will be used for my indoor plants."
"15","Debco Premium Potting Mix 10L",NA,"Kurly",NA,"5.0 out of 5 stars","Verified Purchase","Good soil"
"16","Debco Premium Potting Mix 10L",NA,"Barbara Clark",NA,"5.0 out of 5 stars","Verified Purchase","Good potting mix."
