"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"bfromoz",NA,"4.6 out of 5 stars","Verified Purchase","The numbers are Klingon, but amazing if your a star wars fan"
"2","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"mayhemdiva",NA,"5.0 out of 5 stars","Verified Purchase","Very pleased to have purchased this one."
"3","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"chris cudmore",NA,"3.0 out of 5 stars","Verified Purchase","Easy to move around the house with the magnetic back"
"4","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Caro",NA,"5.0 out of 5 stars","Verified Purchase","A very simple temp gauge. Looks and works as expected. Ideally the screen would be bigger to enable it to be read from more of a distance but I couldn't find anything like that"
"5","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Rachael",NA,"5.0 out of 5 stars","Verified Purchase","Works perfectly. The temperature matches our baby monitor so I can tell it is accurate. This has been a sturdy little room thermometer. It is sensitive to changing temperatures and updates quickly. It has given me so much piece of mind when working out what to dress my baby in at night."
"6","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Tom B",NA,"5.0 out of 5 stars","Verified Purchase","Received promptly. I have it outside under the patio attached to metal shelves. Working well. Recommend."
"7","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Antoinette",NA,"5.0 out of 5 stars","Verified Purchase","Excellent little product. I'm unsure of the accuracy, but I tested it a little bit and it seems to be good."
"8","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"DixieDee",NA,"5.0 out of 5 stars","Verified Purchase","Quality unit. Easy to use. Steal for its price"
"9","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Josh D",NA,"5.0 out of 5 stars","Verified Purchase","VERY GOOD EXCELLENT MAGNETIC ATTATCH"
"10","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Reinder",NA,"5.0 out of 5 stars","Verified Purchase","Amazing little device, had for couple of months now and still going strong and the original batteries. I got it as a happy medium between the baby monitor camera temperature sensor and the Sensibo sensor for controlling our AC. The camera is mounted high on the wall and was never be accurate because heat rises and the Sensibo sensor has to be near the AC so kt tells you it's freezing cold when in fact it's eight under the airflow. I have this gadget near our bub's red light and it has final say on temperature for dressing bub for nighttime.Also good to note, it does NOT have button batteries, just one AAA."
"11","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"bfromoz",NA,"4.6 out of 5 stars","Verified Purchase","The numbers are Klingon, but amazing if your a star wars fan"
"12","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"mayhemdiva",NA,"5.0 out of 5 stars","Verified Purchase","Very pleased to have purchased this one."
"13","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"chris cudmore",NA,"3.0 out of 5 stars","Verified Purchase","Easy to move around the house with the magnetic back"
"14","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Caro",NA,"5.0 out of 5 stars","Verified Purchase","A very simple temp gauge. Looks and works as expected. Ideally the screen would be bigger to enable it to be read from more of a distance but I couldn't find anything like that"
"15","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Rachael",NA,"5.0 out of 5 stars","Verified Purchase","Works perfectly. The temperature matches our baby monitor so I can tell it is accurate. This has been a sturdy little room thermometer. It is sensitive to changing temperatures and updates quickly. It has given me so much piece of mind when working out what to dress my baby in at night."
"16","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Tom B",NA,"5.0 out of 5 stars","Verified Purchase","Received promptly. I have it outside under the patio attached to metal shelves. Working well. Recommend."
"17","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Antoinette",NA,"5.0 out of 5 stars","Verified Purchase","Excellent little product. I'm unsure of the accuracy, but I tested it a little bit and it seems to be good."
"18","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"DixieDee",NA,"5.0 out of 5 stars","Verified Purchase","Quality unit. Easy to use. Steal for its price"
"19","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Josh D",NA,"5.0 out of 5 stars","Verified Purchase","VERY GOOD EXCELLENT MAGNETIC ATTATCH"
"20","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Reinder",NA,"5.0 out of 5 stars","Verified Purchase","Amazing little device, had for couple of months now and still going strong and the original batteries. I got it as a happy medium between the baby monitor camera temperature sensor and the Sensibo sensor for controlling our AC. The camera is mounted high on the wall and was never be accurate because heat rises and the Sensibo sensor has to be near the AC so kt tells you it's freezing cold when in fact it's eight under the airflow. I have this gadget near our bub's red light and it has final say on temperature for dressing bub for nighttime.Also good to note, it does NOT have button batteries, just one AAA."
"21","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"bfromoz",NA,"4.6 out of 5 stars","Verified Purchase","The numbers are Klingon, but amazing if your a star wars fan"
"22","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"mayhemdiva",NA,"5.0 out of 5 stars","Verified Purchase","Very pleased to have purchased this one."
"23","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"chris cudmore",NA,"3.0 out of 5 stars","Verified Purchase","Easy to move around the house with the magnetic back"
"24","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Caro",NA,"5.0 out of 5 stars","Verified Purchase","A very simple temp gauge. Looks and works as expected. Ideally the screen would be bigger to enable it to be read from more of a distance but I couldn't find anything like that"
"25","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Rachael",NA,"5.0 out of 5 stars","Verified Purchase","Works perfectly. The temperature matches our baby monitor so I can tell it is accurate. This has been a sturdy little room thermometer. It is sensitive to changing temperatures and updates quickly. It has given me so much piece of mind when working out what to dress my baby in at night."
"26","ThermoPro TP49W Hygrometer Indoor Thermometer",NA,"Tom B",NA,"5.0 out of 5 stars","Verified Purchase","Received promptly. I have it outside under the patio attached to metal shelves. Working well. Recommend."
