"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","4.1 out of 5 stars","Verified Purchase","It really kills then in one shot 😂😂"
"2","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S.C.","Reviewed in Australia on 9 January 2022","5.0 out of 5 stars","Verified Purchase","Just like it says, one shot! Then they are gone!"
"3","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","3.0 out of 5 stars","Verified Purchase","Came undamaged"
"4","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S","Reviewed in Australia on 13 January 2023","5.0 out of 5 stars",NA,NA
"5","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Young","Reviewed in Australia on 31 January 2022","5.0 out of 5 stars",NA,NA
"6","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"7","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"8","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"9","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"10","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"11","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","4.1 out of 5 stars","Verified Purchase","It really kills then in one shot 😂😂"
"12","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S.C.","Reviewed in Australia on 9 January 2022","5.0 out of 5 stars","Verified Purchase","Just like it says, one shot! Then they are gone!"
"13","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","3.0 out of 5 stars","Verified Purchase","Came undamaged"
"14","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S","Reviewed in Australia on 13 January 2023","5.0 out of 5 stars",NA,NA
"15","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Young","Reviewed in Australia on 31 January 2022","5.0 out of 5 stars",NA,NA
"16","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"17","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"18","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"19","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"20","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"21","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","4.1 out of 5 stars","Verified Purchase","It really kills then in one shot 😂😂"
"22","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S.C.","Reviewed in Australia on 9 January 2022","5.0 out of 5 stars","Verified Purchase","Just like it says, one shot! Then they are gone!"
"23","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","3.0 out of 5 stars","Verified Purchase","Came undamaged"
"24","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S","Reviewed in Australia on 13 January 2023","5.0 out of 5 stars",NA,NA
"25","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Young","Reviewed in Australia on 31 January 2022","5.0 out of 5 stars",NA,NA
"26","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"27","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"28","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"29","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"30","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,NA,NA,NA,NA,NA
"31","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"Amazon Customer","Reviewed in Australia on 4 September 2023","4.1 out of 5 stars","Verified Purchase","It really kills then in one shot 😂😂"
"32","Raid One Shot Multipurpose Insect Killer, Insect Spray for Flying and Crawling Insects, Odourless, 220g, 1 Count",NA,"S.C.","Reviewed in Australia on 9 January 2022","5.0 out of 5 stars","Verified Purchase","Just like it says, one shot! Then they are gone!"
