"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow","Piège à mouches","John","Reviewed in Australia on 14 February 2024","4.2 out of 5 stars","Verified Purchase","Catching bugs within minutes. They really seem to be attracted to the yellow, make sure they're visible and not hidden under leaves."
"2","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"NB","Reviewed in Australia on 11 March 2024","5.0 out of 5 stars","Verified Purchase","After a couple days these yellow stickies have collected a hundred or so little gnats. This needs to be used in conjunction with some sort of systemic insecticide though because you need a treatment for the eggs in your soil. This will catch the annoying adults flying around your place but you need to fix the root cause so they don't keep multiplying."
"3","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"John","Reviewed in Australia on 14 February 2024","1.0 out of 5 stars","Verified Purchase","These work well in my pot plants"
"4","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"David","Reviewed in Australia on 12 February 2024","5.0 out of 5 stars","Verified Purchase","Extremely useful for controlling small bugs and aphids in the garden. Extremely useful in the vegie patch."
"5","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"Sonya","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars","Verified Purchase","These sticky traps certainly do the job around indoor plants - mine have dozens of gnats stuck to them. They need to be placed at the source of the infestation, ie, in the potplants’ soil. They don’t eliminate the pests, just stop so many of them dispersing around the house.  Unless the soil is treated in some way,  ( read up on it) the gnats will continue to breed. I’m glad I bought these traps, as they enabled me to determine just where the pests were breeding."
"6","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"DavidM","Reviewed in Australia on 7 January 2024","5.0 out of 5 stars","Verified Purchase","This worked really well for me."
"7","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"Christine","Reviewed in Australia on 16 February 2024","5.0 out of 5 stars","Verified Purchase","Gnats are plaguing my work office, so I bought these hoping they would help. So far they are working well and have caught plenty of critters. Fairly easy to set up, but sometimes the paper bit you peel off gets stuck."
"8","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"Jessica","Reviewed in Australia on 16 March 2024","5.0 out of 5 stars","Verified Purchase","This SAVED our house plants.We had an infestation of gnats, and they found their way inside our apartment, and let's say that my partner and I (and our spicy brains) do NOT do well with little bugs in our home.The moral of the story, we quickly put these sticky lifesavers into the plants and overnight, they were completely covered in little bugs, that we needed to replace the sticky goodies again! Within a few days, our plants were saved with the use of these and a homemade vinegar/soap solution. THANK YOU!"
"9","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"Chloe","Reviewed in Australia on 17 January 2024","5.0 out of 5 stars","Verified Purchase","These are really good for controlling the little insects in potting mix in my plants"
"10","50 PCS Sticky Traps, KIKISML Yellow Dual-Sided Sticky Insect Catcher with Twist Ties Fruit Fly Fungus Gnat Trap Killer for Whiteflies Mosquitos Fungus Aphids Leafminers Indoor Outdoor Use, Yellow",NA,"Chloe","Reviewed in Australia on 25 September 2023","5.0 out of 5 stars","Verified Purchase","Livraison rapide, mis dans mes pot de fleurs ça fait très bien le job ."
